Artist,Date,City,State,Country,Min Price,Max Price
Foo Fighters,2024-07-28,Minneapolis,MN,US,39.5,179.5
Foo Fighters,2024-08-03,Denver,CO,US,36.0,175.5
Foo Fighters,2024-08-09,Los Angeles,CA,US,59.5,179.5
Foo Fighters,2024-08-11,Los Angeles,CA,US,59.5,179.5
Foo Fighters,2024-08-18,Seattle,WA,US,39.5,179.5
Depeche Mode,2023-11-16,Denver,CO,US,49.5,179.5
Depeche Mode,2023-11-26,Seattle,WA,US,69.0,274.0
Depeche Mode,2023-12-10,Inglewood,CA,US,49.5,259.5
Depeche Mode,2023-12-12,Inglewood,CA,US,44.5,249.5
Depeche Mode,2023-12-15,Los Angeles,CA,US,70.0,370.0
Depeche Mode,2023-12-17,Los Angeles,CA,US,55.0,180.0
Green Day,2024-08-17,Minneapolis,MN,US,28.5,943.0
Green Day,2024-09-07,Denver,CO,US,35.0,199.0
Green Day,2024-09-14,Inglewood,CA,US,35.5,249.0
Green Day,2024-09-23,Seattle,WA,US,39.5,199.0
Tim McGraw,2024-03-29,Seattle,WA,US,39.5,219.5
Tim McGraw,2024-04-04,Denver,CO,US,39.5,219.5
Tim McGraw,2024-04-20,Saint Paul,MN,US,34.5,1034.5
Tim McGraw,2024-06-28,Inglewood,CA,US,39.75,219.75
